NAME,GL,GB,PX,PX_ERR,DIST,DIST_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(kpc),(kpc),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J1801-1417,14.546,4.162,0.6,0.2,1.667,0.556,11.02,0.07,0.003625096717,1.40E-16,5.30E-21,1.00E-24,1.78E-21,5.96E-22,,,4.29E-21,2.05E-22,-2.019572226,1.642753968,,,,,,,,,,,121290694,7699075.148,4.57E+17,5.81E+16
J1832-0836,23.109,0.257,0.48,0.14,2.083,0.608,22.9,0.12,0.002719112021,5.00E-18,8.27E-21,3.00E-25,7.22E-21,2.11E-21,,,3.19E-22,1.77E-22,2.5353836,7.360091285,,,,,,,,,,,53688356.97,54782676.18,1.31E+18,2.68E+18
J1853+1303,44.875,5.367,0.53,0.07,1.887,0.249,3.37,0.04,0.004091797384,6.00E-17,8.72E-21,1.10E-24,2.13E-22,2.86E-23,,,8.26E-21,2.48E-22,0.5702426926,0.5768365778,,,,,,,,,,,188757688.1,318438.5706,2.41E+17,811782930036581
J1909-3744,359.731,-19.596,0.92,0.03,1.160,0.100,37.026,0.005,0.00294710807,8.00E-18,1.40E-20,7.00E-26,1.14E-20,9.82E-22,2.64E-21,4.45E-23,3.25E-21,1.96E-22,-2.070369417,3.213641801,1.533449452,1.00E-12,5.09E-13,2.00E-15,5.12E-13,4.42E-14,-2.90E-15,4.00E-17,-0.02775848316,3.154757624,103534243.7,3247905.885,4.15E+17,2.60E+16
J1910+1256,46.564,1.795,0.36,0.06,2.778,0.463,7.1,0.03,0.004983584019,1.80E-16,9.68E-21,8.00E-25,1.70E-21,2.83E-22,,,9.03E-21,2.58E-22,-1.986094037,0.7267709434,,,,,,,,,,,201774882,3588484.946,3.12E+17,1.11E+16
J1911-1114,25.137,-9.579,0.37,0.14,2.703,1.023,17.1,0.3,0.003625745633,5.00E-15,1.40E-20,4.00E-23,6.97E-21,2.65E-21,,,6.62E-21,2.29E-22,1.074862899,6.932631747,,,,,,,,,,,160841262.7,30626339.61,2.60E+17,9.91E+16
B1913+16,49.968,2.122,0.24,0.07,4.167,1.215,0.72,0.12,0.05903000322,1.10E-14,8.62E-18,4.00E-22,3.10E-22,1.37E-22,8.66E-18,2.16E-21,,,,,0.3229974489,3.00E-12,-2.42E-12,1.00E-15,1.47E-16,6.49E-17,-2.40E-12,5.00E-17,-6.825482869,0.3399265855,22823873797,560149.0934,3.42481E+15,168105195504
J1923+2515,58.946,4.749,0.8,0.3,1.250,0.469,15.87,0.05,0.003788155521,8.00E-18,9.56E-21,3.00E-25,2.90E-21,1.09E-21,,,6.61E-21,2.29E-22,0.1255604209,2.775262066,,,,,,,,,,,160598825.7,13162613.43,2.85E+17,4.67E+16
J1933-6211,334.431,-28.631,0.7,0.2,1.429,0.408,12.43,0.03,0.003543431496,4.00E-17,3.87E-21,3.00E-25,1.90E-21,5.43E-22,1.63E-21,3.20E-22,2.80E-21,1.93E-22,-2.220519254,1.538106286,12.81940672,1.00E-09,7.00E-13,1.00E-13,5.95E-13,1.70E-13,-1.53E-16,2.90E-17,0.9011184618,1.682035552,95944222.71,7568704.258,6.98E+17,1.10E+17
J1944+0907,47.16,-7.357,0.6,0.3,1.667,0.833,26.58,0.06,0.005185201909,1.40E-17,1.73E-20,1.90E-25,1.48E-20,7.42E-21,,,3.88E-21,2.02E-22,-2.604017243,13.53439246,,,,,,,,,,,114271121,172827841.2,1.05E+18,3.19E+18
J1946+3417,69.294,4.713,0.46,1.5,2.174,7.089,8.94,0.14,0.003170139179,8.00E-17,3.16E-21,4.00E-24,1.34E-21,4.37E-21,,,4.82E-21,2.10E-22,-8.945084411,13.04027998,,,,,,,,,,,130198341.6,85521521.07,3.04E+17,3.99E+17
J2010-1323,29.446,-23.54,0.32,0.11,3.125,1.074,6.39,0.13,0.005223271017,5.00E-18,4.83E-21,1.40E-25,1.62E-21,5.61E-22,,,5.27E-21,2.15E-22,-3.729746854,1.087198433,,,,,,,,,,,137940845.8,7261671.234,7.34E+17,7.73E+16
J2017+0603,48.621,-16.026,0.4,0.2,2.500,1.250,2.22,0.08,0.002896215817,1.10E-17,7.99E-21,7.00E-25,8.68E-23,4.38E-23,,,6.17E-21,2.24E-22,5.658116453,0.7451141122,,,,,,,,,,,153125637.6,425425.0157,1.83E+17,1.01775E+15
J2033+1734,60.857,-13.154,1,0.6,1.000,0.600,11.31,0.15,0.005948957541,4.00E-17,1.11E-20,3.00E-24,1.85E-21,1.11E-21,,,1.12E-20,2.85E-22,-3.09949187,1.823226786,,,,,,,,,,,237913531.9,14257292.12,3.20E+17,3.84E+16
J2124-3358,10.925,-45.438,2.1,0.1,0.476,0.023,52.26,0.03,0.004931114944,8.00E-17,2.06E-20,3.00E-25,1.56E-20,7.53E-22,,,6.45E-21,2.27E-22,-2.754436505,1.508572004,,,,,,,,,,,157971430.7,11896263.82,4.99E+17,7.51E+16
J2129-5721,338.005,-43.57,0.26,0.17,3.600,1.400,13.38,0.05,0.003726348486,1.00E-17,2.09E-20,1.00E-25,5.84E-21,2.27E-21,1.10E-20,5.86E-22,1.11E-20,2.84E-22,10.04932624,5.807571549,6.62549309,5.00E-10,1.51E-12,9.00E-14,8.97E-13,3.49E-13,-1.00E-20,0,10.12400499,5.951322894,236396895.1,32760968.46,1.27E+17,3.53E+16
J2145-0750,47.777,-42.084,1.4,0.08,0.625,0.015,13.14,0.05,0.01605242392,3.00E-17,2.98E-20,3.00E-25,4.21E-21,1.06E-22,2.63E-20,5.43E-22,,,,,6.838902615,9.00E-11,1.30E-13,2.00E-14,1.55E-13,3.90E-15,-1.00E-20,0,-0.400590657,0.3260564205,640645131.3,3567622.339,3.21E+17,3.5802E+15
J2222-0137,62.018,-46.075,3.73,0.016,0.268,0.001,45.06,0.05,0.03281785906,1.10E-16,5.80E-19,3.00E-23,4.34E-20,1.89E-22,5.40E-19,1.15E-21,,,,,2.445759995,6.00E-12,2.55E-13,7.40E-15,2.80E-13,1.21E-15,-7.98E-15,1.20E-16,-0.7426882733,0.3355595398,4247839291,840019.8469,3.06E+16,12086644871680
J2229+2643,87.693,-26.284,0.2,0.3,5.000,7.500,6.06,0.09,0.002977819296,8.00E-18,1.52E-21,5.00E-25,1.33E-21,1.99E-21,,,-1.42E-21,1.70E-22,5.113512884,6.355776217,,,,,,,,,,,24155789.58,126165187,7.78E+18,8.13E+19
J2234+0611,72.991,-43.006,1.03,0.04,0.971,0.038,27.1,0.03,0.003576581632,7.00E-18,1.20E-20,1.30E-25,6.20E-21,2.43E-22,8.00E-21,3.23E-21,5.73E-21,2.20E-22,0.1814775406,0.8666704806,32.00140163,2.00E-08,3.10E-12,2.50E-12,4.79E-12,1.88E-13,-2.57E-17,1.20E-18,-5.792644097,8.572858279,145748726.9,3036915.998,3.08E+17,1.28E+16
J2302+4442,103.395,-14.005,0.4,0.9,2.500,5.625,5.81,0.1,0.005192324649,3.00E-17,1.39E-20,1.10E-24,1.07E-21,2.40E-21,,,1.25E-20,3.03E-22,0.6092616284,4.40019553,,,,,,,,,,,260880946.8,24483833.21,2.03E+17,3.81E+16
J2317+1439,91.361,-42.36,0.6,0.08,1.667,0.222,3.69,0.03,0.003445251072,5.00E-16,2.43E-21,1.70E-24,1.90E-22,2.55E-23,,,2.39E-21,1.89E-22,-0.4120172339,0.5233874797,,,,,,,,,,,88898175.97,508889.4353,7.69E+17,8.80413E+15
J2322-2650,28.637,-70.228,1.3,2,0.769,1.183,8.6,0.4,0.003463099179,1.10E-16,5.83E-22,1.50E-24,4.79E-22,7.38E-22,,,-5.11E-22,1.73E-22,1.67927956,2.069637395,,,,,,,,,,,39570836.57,1832695.021,3.92E+18,3.63E+17
