NAME,GL,GB,PX,PX_ERR,PMTOT,PMTOT_ERR,PS,PS_ERR,PSDOT_OBS,PSDOT_OBS_ERR,PSDOT_SHK,PSDOT_SHK_ERR,PSDOT_B,PSDOT_B_ERR,MODEL_PSDOT_B,MODEL_PSDOT_B_ERR,ALOS_PS,ALOS_PS_ERR,PB,PB_ERR,PBDOT,PBDOT_ERR,PBDOT_SHK,PBDOT_SHK_ERR,PBDOT_GR,PBDOT_GR_ERR,ALOS_PB,ALOS_PB_ERR,BSURF,BSURF_ERR,CHAR_AGE,CHAR_AGE_ERR
,(deg),(deg),(mas),(mas),(mas/yr),(mas/yr),(s),(s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(days),(days),(s/s),(s/s),(s/s),(s/s),(s/s),(s/s),(mm/s/yr),(mm/s/yr),(G),(G),(s),(s)
J0737-3039A,245.236,-4.505,0.87,0.14,6.62E-16,1.08E-16,0.0226993786,1.10E-15,1.76E-18,6.00E-23,1.18E-21,4.27E-22,1.77E-18,4.37E-20,,,,,8834.534998,4.32E-06,-1.25E-12,1.70E-14,4.37E-16,1.18E-16,-1.25E-12,8.00E-16,-4.323402388,18.22799653,6393807689,783655.6359,6.45325E+15,1581883318327
J0737-3039B,245.236,-4.505,0.87,0.14,6.62E-16,1.08E-16,2.77346077,8.00E-11,8.92E-16,8.00E-18,1.44E-19,5.22E-20,8.93E-16,9.62E-18,,,,,8834.534998,4.32E-06,-1.25E-12,1.70E-14,4.37E-16,1.18E-16,-1.25E-12,8.00E-16,-4.323402388,18.22799653,1591506627464,7138102100,1.55488E+15,13947661934627
J0740+6620,149.73,29.599,0.5,0.3,5.01E-15,6.16E-18,0.002885736411,5.00E-18,1.22E-20,1.70E-25,1.49E-20,8.94E-21,3.99E-21,1.82E-21,-2.84E-21,1.69E-22,0.4187246639,29.31903788,411864.0151,7.78E-06,1.17E-12,2.60E-13,1.07E-12,2.13E-13,-6.07E-16,2.10E-17,2.405012895,7.724366685,-999,999,-5.32E+17,1.76E+18
J0751+1807,202.73,21.086,0.85,0.04,2.08E-15,1.08E-17,0.003478770839,1.30E-17,7.79E-21,8.00E-26,1.83E-21,8.81E-23,6.41E-21,6.17E-22,5.73E-21,2.20E-22,0.6254744221,0.6438866351,22735.665,2.59E-07,-3.50E-14,5.00E-16,1.19E-14,5.22E-16,-4.40E-14,4.00E-15,-1.199912927,1.691685255,145692904.4,1076919.574,2.92E+17,4.31539E+15
J0931-1902,250.999,23.054,0.7,0.7,7.65E-16,2.15E-17,0.004638029391,2.00E-17,3.63E-21,1.30E-24,3.99E-22,3.99E-22,,,4.44E-21,2.07E-22,-2.478317143,0.9176765623,,,,,,,,,,,123850593.6,7658549.161,7.18E+17,8.88E+16
J1012+5307,160.347,50.858,0.9,0.08,3.94E-15,6.16E-19,0.005255749102,6.00E-18,1.71E-20,6.00E-26,9.34E-21,8.30E-22,1.04E-20,3.28E-21,9.20E-21,2.60E-22,-2.542594318,1.566438396,52243.72248,4.32E-07,6.10E-14,6.00E-15,1.11E-13,4.78E-14,-6.00E-15,3.20E-14,-7.919916603,10.47691146,204699759.6,10915862.52,3.38E+17,3.60E+16
J1012-4235,274.218,11.225,0.8,0.5,1.01E-15,9.23E-18,0.003101141247,3.00E-17,6.55E-21,8.00E-25,4.09E-22,2.56E-22,,,5.37E-21,2.16E-22,2.338130475,1.021330719,,,,,,,,,,,139596943.3,2908495.356,2.53E+17,1.05E+16
J1017-7156,291.558,-12.553,0.6,0.6,1.56E-15,1.85E-18,0.00233851444,5.00E-18,2.21E-21,6.00E-26,9.70E-22,9.70E-22,5.50E-22,8.31E-22,3.72E-22,1.77E-22,3.529507063,3.989289057,562628.5142,0.07776,4.00E-13,2.00E-13,1.96E-13,8.40E-14,-3.90E-16,3.00E-16,3.436911289,3.648197465,54577800.26,21278699.7,9.40E+17,7.33E+17
J1022+1001,231.795,51.101,1.16,0.08,3.69E-15,4.62E-16,0.01645292996,6.00E-17,4.33E-20,3.00E-25,1.99E-20,5.16E-21,3.80E-20,2.20E-22,,,,,674363.5776,0.01728,2.18E-13,9.00E-15,7.39E-13,2.00E-13,-5.20E-16,8.00E-17,-7.301109566,2.804581846,628287843.2,69219917.05,3.51E+17,7.74E+16
J1125-6014,292.504,0.894,0.6,0.3,2.64E-15,2.15E-18,0.002630380781,1.40E-17,3.73E-21,1.30E-25,3.13E-21,1.57E-21,1.30E-21,3.48E-22,-4.78E-22,1.73E-22,3.869956713,5.670311424,756224.9551,3.46E-05,7.00E-13,1.00E-13,8.11E-13,5.95E-13,-2.24E-16,3.00E-17,-1.383393906,7.543946243,40127057.39,52584293.46,2.20E+18,5.77E+18
J1400-1431,326.986,45.087,3.6,1.1,8.93E-15,9.23E-16,0.00308423326,8.00E-17,7.23E-21,1.50E-24,7.02E-21,2.59E-21,,,-1.32E-21,1.71E-22,4.698521909,7.967459636,,,,,,,,,,,25791012.04,158669470.1,7.32E+18,9.01E+19
J1453+1902,23.395,60.812,-1.1,0.9,1.68E-15,6.16E-17,0.005792302739,1.10E-16,1.17E-20,5.00E-24,-1.52E-21,1.25E-21,,,1.36E-20,3.18E-22,-0.6885442212,2.110756627,,,,,,,,,,,279602321.5,13282754.04,2.20E+17,2.09E+16
J1455-3330,330.722,22.562,1.3,0.1,1.25E-15,2.15E-18,0.007987204929,1.30E-16,2.43E-20,7.00E-25,9.81E-22,7.56E-23,1.88E-20,2.67E-21,,,,,6581482.728,0.001728,4.50E-12,2.20E-12,7.98E-13,6.30E-14,-1.00E-20,4.70E-46,5.32269272,3.164170766,436754994.6,707514.9989,1.71E+17,554768280876815
J1518+4904,80.808,54.282,1.24,0.04,1.32E-15,6.16E-18,0.04093498891,6.00E-16,2.72E-20,3.00E-24,5.89E-21,1.98E-22,2.42E-18,3.63E-24,,,,,745978.0403,9.50E-05,-1.18E-15,5.00E-18,1.08E-13,3.50E-15,-1.18E-15,4.00E-17,-1.368364715,0.04438354062,944810161.1,4391707.105,9.61E+17,8.93489E+15
J1600-3053,344.09,16.451,0.72,0.02,1.07E-15,1.54E-18,0.00359792851,1.10E-17,9.50E-21,4.00E-26,5.94E-22,1.66E-23,8.05E-21,2.90E-22,7.81E-21,2.43E-22,2.874837254,0.6406966057,1239707.333,0.07776,5.00E-13,1.00E-13,2.79E-13,5.07E-15,-1.20E-16,4.00E-17,1.68636377,0.7642262382,181143540.5,168665.0357,2.02E+17,376150395822054
J1603-7202,316.63,-14.496,0.3,0.3,1.19E-15,1.85E-18,0.01484195225,5.00E-17,1.56E-20,4.00E-25,7.25E-21,7.25E-21,1.05E-20,1.09E-21,,,,,545065.6034,1.64E-05,1.90E-13,4.00E-14,2.16E-13,1.04E-13,-1.00E-20,7.15E-47,-0.4455192402,1.931722868,356859860.7,154383622.4,8.86E+17,7.66E+17
J1614-2230,352.636,20.192,1.54,0.1,4.99E-15,9.23E-17,0.003150807656,3.00E-18,9.62E-21,6.00E-26,5.23E-21,3.91E-22,4.04E-21,2.94E-22,4.16E-21,2.04E-22,0.6909388112,1.325303532,750523.9182,2.59E-06,1.33E-12,7.00E-14,1.28E-12,8.93E-14,-4.23E-16,3.00E-18,0.6498752058,1.430209072,119022325.6,5302700.965,3.59E+17,3.20E+16
J1640+2224,41.051,38.271,0.8,0.2,1.77E-15,1.08E-18,0.003163315868,3.00E-17,2.82E-21,1.10E-25,1.28E-21,3.20E-22,8.35E-22,3.96E-22,1.31E-21,1.82E-22,0.674701997,1.101241221,15159801.42,0.0007776,9.50E-12,1.90E-12,5.30E-12,1.37E-12,-1.00E-20,1.06E-46,2.621424337,1.463514258,70570110.38,7344278.967,1.03E+18,2.14E+17
J1653-0158,16.615,24.935,1.9,1.1,3.06E-15,2.92E-16,0.001967682025,2.00E-16,2.40E-21,3.00E-24,9.99E-22,6.09E-22,,,2.88E-22,1.76E-22,5.358224721,3.049989271,,,,,,,,,,,53162430.45,11545126.6,7.01E+17,3.05E+17
J1713+0747,28.751,25.223,0.88,0.01,9.68E-16,2.15E-19,0.004570136598,5.00E-18,8.53E-21,5.00E-26,5.01E-22,5.70E-24,8.32E-21,5.69E-23,8.56E-21,2.52E-22,-1.09877766,0.5219118231,5860091.316,6.05E-05,2.64E-13,7.30E-14,6.42E-13,7.35E-15,-6.70E-18,2.00E-19,-0.6106317017,0.1184657313,193836247,68777.05525,2.85E+17,201974675126805
J1721-2457,0.387,6.751,0.1,0.2,4.77E-16,9.23E-17,0.003496633783,1.90E-16,5.54E-21,7.00E-24,8.19E-22,1.67E-21,,,4.81E-21,2.10E-22,-0.2313767294,4.549417126,,,,,,,,,,,130044916,22962673.51,3.70E+17,1.31E+17
J1738+0333,27.721,17.742,0.59,0.05,1.34E-15,3.08E-18,0.005850095861,3.00E-16,2.41E-20,1.40E-24,1.84E-21,1.56E-22,2.18E-20,2.55E-21,,,,,30653.91992,1.12E-07,-1.70E-14,3.10E-15,8.26E-15,5.62E-16,-2.90E-14,1.30E-14,1.153465066,4.128895632,365351396.1,1277148.695,1.31E+17,917772566597893
J1741+1351,37.885,21.641,0.6,0.1,1.79E-15,3.08E-18,0.0037471545,8.00E-18,3.02E-20,1.50E-25,2.06E-21,3.44E-22,2.68E-20,1.06E-21,,,,,1411374.052,4.32E-05,1.30E-12,4.00E-13,8.46E-13,2.35E-13,-1.00E-20,4.70E-47,3.046890709,3.109745264,328681777.9,2006299.694,6.65E+16,812404052497865
J1744-1134,14.794,9.18,2.58,0.03,3.23E-15,7.70E-19,0.004074545942,9.00E-18,8.93E-21,5.00E-26,1.70E-21,1.98E-23,,,7.38E-21,2.38E-22,-0.332405922,0.5545208925,,,,,,,,,,,173736967,237557.0346,2.82E+17,770104362470925
J1751-2857,0.646,-1.124,1.1,0.4,1.32E-15,4.62E-17,0.003914873259,4.00E-16,1.12E-20,1.30E-24,6.41E-22,2.37E-22,,,9.27E-21,2.61E-22,3.166628211,0.8525974543,,,,,,,,,,,205978350.1,2311074.72,1.85E+17,4.15035E+15
J1801-1417,14.546,4.162,0.8,0.3,1.70E-15,1.08E-17,0.003625096717,1.40E-16,5.30E-21,1.00E-24,1.34E-21,5.03E-22,,,4.29E-21,2.05E-22,-0.863690271,1.418497025,,,,,,,,,,,121290694,7699075.148,4.57E+17,5.81E+16
J1832-0836,23.109,0.257,0.48,0.14,3.52E-15,1.85E-17,0.002719112021,5.00E-18,8.27E-21,3.00E-25,7.24E-21,2.11E-21,,,3.19E-22,1.77E-22,2.491225519,7.37724443,,,,,,,,,,,53688356.97,54782676.18,1.31E+18,2.68E+18
J1853+1303,44.875,5.367,0.53,0.07,5.19E-16,6.16E-18,0.004091797384,6.00E-17,8.72E-21,1.10E-24,2.14E-22,2.87E-23,,,8.26E-21,2.48E-22,0.561269224,0.5782274055,,,,,,,,,,,188757688.1,318438.5706,2.41E+17,811782930036581
J1909-3744,359.731,-19.596,0.94,0.02,5.70E-15,7.70E-19,0.00294710807,8.00E-18,1.40E-20,7.00E-26,1.05E-20,2.23E-22,2.64E-21,4.45E-23,3.25E-21,1.96E-22,0.9695492171,0.9532522066,132490.0327,8.64E-08,5.09E-13,2.00E-15,5.13E-13,4.42E-15,-2.90E-15,4.00E-17,-0.079521372,0.3467909899,103534243.7,3247905.885,4.15E+17,2.60E+16
J1910+1256,46.564,1.795,0.36,0.06,1.09E-15,4.62E-18,0.004983584019,1.80E-16,9.68E-21,8.00E-25,1.70E-21,2.84E-22,,,9.03E-21,2.58E-22,-1.989975783,0.7278613422,,,,,,,,,,,201774882,3588484.946,3.12E+17,1.11E+16
J1911-1114,25.137,-9.579,0.37,0.14,2.63E-15,4.62E-17,0.003625745633,5.00E-15,1.40E-20,4.00E-23,6.98E-21,2.65E-21,,,6.62E-21,2.29E-22,0.909336669,6.950679276,,,,,,,,,,,160841262.7,30626339.61,2.60E+17,9.91E+16
B1913+16,49.968,2.122,0.24,0.07,1.11E-16,1.85E-17,0.05903000322,1.10E-14,8.62E-18,4.00E-22,3.11E-22,1.38E-22,8.66E-18,2.16E-21,,,,,27906.97959,2.59E-07,-2.42E-12,1.00E-15,1.65E-16,1.06E-16,-2.40E-12,5.00E-17,-6.962596434,0.3413731982,22823873797,560149.0934,3.42481E+15,168105195504
J1923+2515,58.946,4.749,0.8,0.3,2.44E-15,7.70E-18,0.003788155521,8.00E-18,9.56E-21,3.00E-25,2.91E-21,1.09E-21,,,6.61E-21,2.29E-22,0.1096053737,2.781884922,,,,,,,,,,,160598825.7,13162613.43,2.85E+17,4.67E+16
J1933-6211,334.431,-28.631,1,0.3,1.91E-15,4.62E-18,0.003543431496,4.00E-17,3.87E-21,3.00E-25,1.33E-21,4.00E-22,1.63E-21,3.20E-22,2.80E-21,1.93E-22,-0.7124138267,1.186073345,1107596.74,8.64E-05,7.00E-13,1.00E-13,6.66E-13,1.25E-13,-1.53E-16,2.90E-17,0.2908053244,1.367101415,95944222.71,7568704.258,6.98E+17,1.10E+17
J1944+0907,47.16,-7.357,0.6,0.3,4.09E-15,9.23E-18,0.005185201909,1.40E-17,1.73E-20,1.90E-25,1.49E-20,7.44E-21,,,3.88E-21,2.02E-22,-2.59489337,13.57973693,,,,,,,,,,,114271121,172827841.2,1.05E+18,3.19E+18
J1946+3417,69.294,4.713,-0.3,1,1.38E-15,2.15E-17,0.003170139179,8.00E-17,3.16E-21,4.00E-24,-2.06E-21,6.86E-21,,,4.82E-21,2.10E-22,1.206488483,20.48526048,,,,,,,,,,,130198341.6,85521521.07,3.04E+17,3.99E+17
J2010-1323,29.446,-23.54,0.41,0.12,9.83E-16,2.00E-17,0.005223271017,5.00E-18,4.83E-21,1.40E-25,1.27E-21,3.75E-22,,,5.27E-21,2.15E-22,-3.107576498,0.7823628221,,,,,,,,,,,137940845.8,7261671.234,7.34E+17,7.73E+16
J2017+0603,48.621,-16.026,0.4,0.2,3.42E-16,1.23E-17,0.002896215817,1.10E-17,7.99E-21,7.00E-25,8.70E-23,4.39E-23,,,6.17E-21,2.24E-22,5.685945411,0.7470032095,,,,,,,,,,,153125637.6,425425.0157,1.83E+17,1.01775E+15
J2033+1734,60.857,-13.154,1,0.6,1.74E-15,2.31E-17,0.005948957541,4.00E-17,1.11E-20,3.00E-24,1.85E-21,1.11E-21,,,1.12E-20,2.85E-22,-2.956969417,1.828380091,,,,,,,,,,,237913531.9,14257292.12,3.20E+17,3.84E+16
J2043+1711,61.919,-15.313,0.72,0.07,1.89E-15,2.46E-18,0.002379878924,3.00E-18,5.24E-21,6.00E-26,1.21E-21,1.18E-22,3.33E-21,1.86E-22,2.99E-21,1.94E-22,4.143577918,0.902115102,128069.9239,5.18E-07,1.00E-13,1.00E-14,7.49E-14,4.68E-15,-2.86E-15,1.60E-16,2.068206519,0.8157986438,99171121.44,1444305.051,2.95E+17,8.58841E+15
J2124-3358,10.925,-45.438,2.1,0.1,8.04E-15,4.62E-18,0.004931114944,8.00E-17,2.06E-20,3.00E-25,1.56E-20,7.44E-22,,,6.45E-21,2.27E-22,-2.894650478,1.493495906,,,,,,,,,,,157971430.7,11896263.82,4.99E+17,7.51E+16
J2129-5721,338.005,-43.57,0.26,0.17,2.05E-15,1.54E-18,0.003726348486,1.00E-17,2.09E-20,1.00E-25,6.21E-21,4.06E-21,1.10E-20,5.86E-22,1.11E-20,2.84E-22,9.099722518,10.33246244,572442.603,4.32E-05,1.51E-12,9.00E-14,8.93E-13,3.47E-13,-1.00E-20,0,10.20389223,5.927864709,236396895.1,32760968.46,1.27E+17,3.53E+16
J2145-0750,47.777,-42.084,1.4,0.08,2.02E-15,7.70E-18,0.01605242392,3.00E-17,2.98E-20,3.00E-25,4.82E-21,2.78E-22,2.63E-20,5.43E-22,,,,,590881.1859,7.78E-06,1.30E-13,2.00E-14,1.77E-13,1.25E-14,-1.00E-20,0,-0.7446672309,0.3773006364,640645131.3,3567622.339,3.21E+17,3.5802E+15
J2222-0137,62.018,-46.075,3.73,0.016,6.94E-15,7.70E-18,0.03281785906,1.10E-16,5.80E-19,3.00E-23,4.35E-20,2.10E-22,5.40E-19,1.15E-21,,,,,211313.6636,5.18E-07,2.55E-13,7.40E-15,2.80E-13,1.35E-15,-7.98E-15,1.20E-16,-0.7572271672,0.3368589842,4247839291,840019.8469,3.06E+16,12086644871680
J2229+2643,87.693,-26.284,0.2,0.3,9.33E-16,1.39E-17,0.002977819296,8.00E-18,1.52E-21,5.00E-25,1.33E-21,2.00E-21,,,-1.42E-21,1.70E-22,5.110727353,6.374554414,,,,,,,,,,,24155789.58,126165187,7.78E+18,8.13E+19
J2234+0611,72.991,-43.006,1.03,0.04,4.17E-15,4.62E-18,0.003576581632,7.00E-18,1.20E-20,1.30E-25,6.21E-21,2.42E-22,8.00E-21,3.23E-21,5.73E-21,2.20E-22,0.1803318003,0.864251493,2764921.101,0.001728,3.10E-12,2.50E-12,4.80E-12,1.98E-13,-2.57E-17,1.20E-18,-5.803734839,8.582160807,145748726.9,3036915.998,3.08E+17,1.28E+16
J2241-5236,337.457,-54.927,0.96,0.04,3.02E-15,7.70E-19,0.002186699773,1.00E-18,6.90E-21,3.00E-26,2.13E-21,8.89E-23,,,3.23E-21,1.96E-22,6.612080815,0.9315563431,,,,,,,,,,,103263442.5,964293.8983,2.30E+17,4.28793E+15
J2302+4442,103.395,-14.005,0.4,0.9,8.94E-16,1.54E-17,0.005192324649,3.00E-17,1.39E-20,1.10E-24,1.07E-21,2.40E-21,,,1.25E-20,3.03E-22,0.5451466277,4.413078047,,,,,,,,,,,260880946.8,24483833.21,2.03E+17,3.81E+16
J2317+1439,91.361,-42.36,0.6,0.08,5.68E-16,4.62E-18,0.003445251072,5.00E-16,2.43E-21,1.70E-24,1.91E-22,2.56E-23,,,2.39E-21,1.89E-22,-0.4102897815,0.5248623309,,,,,,,,,,,88898175.97,508889.4353,7.69E+17,8.80413E+15
J2322-2650,28.637,-70.228,4.4,1.2,1.32E-15,6.16E-17,0.003463099179,1.10E-16,5.83E-22,1.50E-24,1.42E-22,4.09E-23,,,-5.11E-22,1.73E-22,2.601863614,0.4859454132,,,,,,,,,,,39570836.57,1832695.021,3.92E+18,3.63E+17
